VVVHS,S2REP,DpRVIVV,AWEIsh,BAI,VVVHD,agb
-44.12284640823635,708.4378763014786,2.2138936752702953,-0.9607847012990997,9.61733815115659,4.71879889082221,0.0
-37.441500690203355,710.7586802080399,2.287037929835001,-0.7351260850094057,8.36718593023778,5.373565424015876,0.67
-29.369633733816435,713.8051414224575,2.2583392480379656,-0.6403858709961509,22.58075653882159,3.7936645469723,17.67
-37.2774627850454,708.8221671432526,2.3461475318668836,-0.6873606238534736,20.603028836843464,6.451750868651539,2.91
-28.45992772773957,716.15517048545,2.4013110342497006,-0.6178533580437777,25.645050908936884,5.710641515545447,77.65
-38.851948564475265,713.8608806716227,2.300035807873276,-0.9301395636355716,9.203582509348868,5.82848788749666,3.17
-30.27438676431836,713.932244157739,2.4372647358959223,-0.5757150891967691,44.51335772915894,6.618960866455341,12.18
-25.831514719202875,715.363844157189,2.441403199770112,-0.6234543919343105,26.47019973874881,5.701056625982449,15.17
-49.450002312572565,680.7906501721928,2.274565172356277,-0.7134562733554686,3.769450190671219,6.788624203984899,0.0
-38.68710607632604,714.5882903092164,2.198060906177754,-0.9167109630417922,11.264869255390034,3.8312016434360174,4.58
-29.809633359364312,719.1199026223262,2.473139689215083,-0.571198306838807,23.647663327097003,7.0520603316326085,11.78
-40.841030541015655,715.0878436094183,2.344499354491922,-0.5666332679778077,27.17789733889146,7.0348543290823855,0.8
-27.991567357307716,715.9387862699965,2.49566236010634,-0.6396829676843706,29.154167506956117,6.937183169699367,57.75
-46.43927144681942,706.5133280642868,2.329564700982816,-0.9514219252195252,9.147485313320802,7.652372304115424,2.83
-29.928769687892945,717.6312977530355,2.3414061422927985,-0.6180323237959036,34.127893724543014,5.108932901356587,33.5
-41.34440079207599,714.280868878851,2.333172722819726,-0.9079752767567462,10.774510531606897,6.887413292622998,0.0
-29.711708070110173,717.2940958551361,2.525526799362374,-0.5570527537709352,38.865006642219406,7.807149422837103,55.83
-42.65609388960546,717.726496147707,2.2387562847048583,-0.9405141566092474,9.483988556425896,5.09220524855191,0.0
-26.798387422469332,719.3918238243913,2.382353900165917,-0.3735674052931745,58.59191114696373,5.123233974569203,37.98
-29.381234803083984,713.6258946169197,2.4146779355027093,-0.503207849970546,39.91087786847645,6.091874895331605,8.95
-27.58732263863807,715.1648211453295,2.424702430194354,-0.4139356238755095,71.37665005769608,5.85820148359265,11.89
-25.510523984856597,714.1979489562215,2.4327806032468073,-0.5668557178872177,32.24858587493344,5.520229979654193,29.62
-37.119290887161206,714.4526664863276,2.3978884441327084,-0.8779923105704136,12.475623656052706,7.384668449200994,0.15
-29.336975109975715,714.5487879567406,2.425530694357905,-0.6153709196172752,28.287452978948384,6.241891694454271,23.18
-35.20388205463671,713.4831033487603,2.4458841846130217,-0.6168680617835595,32.209293074533164,7.848427122572339,7.7
-23.26076228343091,716.9849658076606,2.474490922328792,-0.5973261260958235,24.72501222708167,5.518510274967955,44.22
-39.06545427624035,713.9978172023795,2.294447530390776,-0.9330208364126886,8.816055861572352,5.751363267616377,0.2
-46.805500836011845,688.7260822771043,2.195408620672327,-0.7344542775698231,5.756664454498246,4.573099179121261,0.0
-40.71242030412223,719.137065404939,2.4081678521714824,-0.934810142448736,10.376637903942186,8.308750576118111,15.1
-26.886677503503417,712.2237996789281,2.4676422891098406,-0.5094874930238493,51.32053620726988,6.286673707148198,36.78
-31.913883703336605,713.1282457759835,2.3997184869184647,-0.5802019020260702,33.85666025499753,6.378284652794779,25.27
-28.840643334552443,719.7949193426621,2.3876976298526524,-0.5903042090255152,21.47991529456476,5.590724532115839,11.96
-29.889837684259625,714.1927602952138,2.354337024936369,-0.6947829452123377,25.96380543731147,5.2955380804357635,18.91
-26.314910059722,712.6708219257644,2.368196409598054,-0.5511075399947806,45.64713056240621,4.844527701442672,47.02
-25.879112077486862,716.198607150342,2.408561885262301,-0.5750519931359309,35.11402757104708,5.286609409646211,43.25
-31.85553555534164,711.6213116693523,2.33985360924319,-0.77834499456815,14.077932809207775,5.413109366428804,7.81
-29.995198828846732,717.4291680479347,2.403918789480349,-0.6398437946049498,29.836969434501047,6.057812200585076,27.92
-38.908254287640005,708.5334761862534,2.3210044287472185,-0.988920378800506,8.041091305934131,6.244860970577694,0.0
-36.2739856704862,714.5840231583493,2.305989612323782,-0.72139563094119,19.792236848325043,5.549731406375251,11.66
-46.65879883378503,710.9095743830902,2.307543360494577,-0.9395210883076786,8.891249211968132,7.174801894991354,1.09
-30.432858256496253,715.9406813824565,2.396716419540872,-0.577232553981047,33.96855077137896,6.03660728195603,14.61
-28.413826042162405,717.287085166155,2.5658718851706688,-0.6243845818153745,34.39004570012653,8.039292653694945,28.93
-43.31550175776529,714.3119932801562,2.2443740968875048,-0.8658126667931634,9.342959538579931,5.2925933116415145,0.0
-35.29888364010634,714.8428315581277,2.4067708609916507,-0.7274118587786172,20.47252063466621,7.179278645165079,3.2
-39.09063801655096,720.012140368798,2.3200837827655563,-0.9195428605171138,9.13439987529038,6.25613964352835,0.0
